File Name,F3 Delta,F3 Theta,F3 Alpha,F3 Beta,F3 Gamma,FC5 Delta,FC5 Theta,FC5 Alpha,FC5 Beta,FC5 Gamma,AF3 Delta,AF3 Theta,AF3 Alpha,AF3 Beta,AF3 Gamma,F7 Delta,F7 Theta,F7 Alpha,F7 Beta,F7 Gamma,T7 Delta,T7 Theta,T7 Alpha,T7 Beta,T7 Gamma,P7 Delta,P7 Theta,P7 Alpha,P7 Beta,P7 Gamma,O1 Delta,O1 Theta,O1 Alpha,O1 Beta,O1 Gamma,O2 Delta,O2 Theta,O2 Alpha,O2 Beta,O2 Gamma,P8 Delta,P8 Theta,P8 Alpha,P8 Beta,P8 Gamma,T8 Delta,T8 Theta,T8 Alpha,T8 Beta,T8 Gamma,F8 Delta,F8 Theta,F8 Alpha,F8 Beta,F8 Gamma,AF4 Delta,AF4 Theta,AF4 Alpha,AF4 Beta,AF4 Gamma,FC6 Delta,FC6 Theta,FC6 Alpha,FC6 Beta,FC6 Gamma,F4 Delta,F4 Theta,F4 Alpha,F4 Beta,F4 Gamma
Omar2-Sleep stage 1-00,69.055,23.318,25.632,18.888,4.855,50.319,25.131,27.019,19.099,9.142,28.987,5.505,4.309,5.858,2.791,80.807,19.779,23.075,14.403,5.143,247.128,11.014,5.509,9.456,5.764,2462.036,30.384,173.884,25.601,7.900,47.227,9.117,149.057,21.068,7.037,362.516,26.334,380.559,42.456,7.940,271.591,20.642,295.609,35.623,12.762,231.391,11.529,121.555,20.742,5.453,27967.925,85.691,66.149,26.094,15.767,597.914,20.252,67.896,20.315,8.198,679.134,23.056,45.021,26.611,14.246,1851.520,82.911,172.458,99.166,30.370
Omar2-Sleep stage 1-01,39.645,14.618,48.530,25.609,5.278,21.838,9.351,28.358,14.672,11.859,8.828,3.213,3.297,2.000,2.220,91.603,11.070,15.567,8.386,7.723,108.708,3.418,7.681,6.569,9.351,2078.090,125.341,101.642,26.694,11.008,5.057,12.578,116.639,30.027,5.566,354.861,3.042,88.421,30.437,7.163,197.478,5.862,44.299,24.354,7.054,213.571,3.488,22.356,17.408,8.383,8796.768,66.215,39.494,28.231,17.561,1925.197,16.724,41.412,22.457,8.433,2346.270,127.868,75.258,45.387,14.038,1212.835,127.031,138.779,149.322,57.807
Omar2-Sleep stage 1-02,19.192,34.713,21.416,20.838,4.223,14.444,17.092,19.352,14.595,4.505,24.928,4.872,3.378,2.768,2.033,406.597,10.530,9.629,11.435,7.770,13.286,8.625,5.055,6.501,6.443,1198.640,97.461,131.290,27.846,7.770,33.298,30.190,176.416,33.369,3.638,242.399,29.861,297.480,35.307,7.274,79.024,11.686,142.217,27.344,9.562,146.842,18.290,59.763,13.825,14.388,10892.805,122.375,46.254,21.980,10.789,263.078,53.268,18.841,18.152,7.480,536.691,29.335,25.145,25.805,11.489,1091.897,106.503,92.460,73.146,26.977
Omar2-Sleep stage 1-03,60.951,9.882,51.778,18.646,4.571,20.165,3.897,39.500,12.089,5.711,102.601,2.023,4.676,3.234,1.349,226.955,6.469,17.020,8.331,5.685,77.761,3.357,9.308,8.303,5.768,5484.654,67.166,112.233,18.910,4.178,15.009,33.859,172.519,36.049,2.827,207.983,35.604,261.200,43.964,6.491,83.477,30.894,128.563,29.295,7.530,60.244,29.695,24.393,23.034,5.335,2100.249,318.111,47.352,24.869,8.571,400.464,16.632,22.490,24.484,5.489,300.008,26.097,15.942,26.923,8.416,537.550,153.056,118.705,123.499,32.219
Omar2-Sleep stage 1-04,160.103,47.506,76.818,34.403,3.588,328.783,16.619,40.916,16.051,3.757,175.862,5.529,5.100,3.600,2.510,297.002,12.158,17.994,12.808,7.787,62.020,10.543,9.550,5.877,6.540,2016.760,44.374,124.609,33.451,7.838,35.893,12.548,189.391,36.997,3.906,54.904,31.177,149.915,41.299,12.800,136.305,26.681,62.157,34.878,10.533,193.745,29.465,31.101,28.351,12.526,4875.777,216.467,79.732,46.039,27.157,1276.170,50.356,83.407,44.176,10.065,728.485,81.657,86.395,53.175,12.666,697.774,206.535,187.730,241.628,60.301
Omar2-Sleep stage 1-05,54.881,8.173,27.515,10.753,2.672,38.229,14.400,24.696,26.831,6.097,26.041,1.386,1.873,7.733,1.940,311.434,6.110,7.252,16.277,7.573,34.518,2.831,6.871,7.300,4.273,4092.217,33.299,71.938,10.329,3.819,31.167,2.434,99.895,11.254,7.108,138.464,13.345,249.799,24.305,7.410,81.436,18.234,171.580,29.611,7.976,132.800,11.340,72.065,13.001,3.346,8686.290,88.110,55.071,21.652,10.334,1759.467,8.946,37.873,13.360,4.105,382.646,23.962,47.546,17.310,7.981,2790.819,140.142,65.152,114.384,34.249
Omar2-Sleep stage 1-06,47.700,11.804,49.996,17.400,3.718,129.916,12.803,23.477,13.102,2.789,99.656,4.453,6.197,7.050,3.556,164.636,12.953,19.506,11.848,3.879,109.373,6.190,5.648,15.446,2.908,1987.635,12.553,124.154,20.102,8.869,40.835,5.952,220.887,27.265,5.482,91.560,24.060,215.994,46.317,8.221,198.678,27.698,106.452,34.187,6.135,226.158,10.675,30.414,30.716,7.725,8976.674,161.779,57.339,27.854,11.878,951.596,9.475,61.185,24.708,4.683,534.562,58.212,47.532,30.743,8.906,1625.564,61.391,144.706,53.205,15.858
Omar2-Sleep stage 1-07,40.117,6.585,51.966,14.430,3.926,21.954,9.137,41.632,10.384,3.586,12.393,4.103,8.204,4.943,2.019,164.369,6.915,19.389,6.554,5.014,154.668,5.414,8.974,8.173,3.947,4928.399,100.746,89.645,14.716,6.076,31.483,9.739,178.252,18.308,3.193,171.754,15.609,206.771,26.793,4.327,303.711,20.553,95.768,15.876,3.389,152.595,14.854,37.774,7.295,6.620,8486.642,64.992,47.095,11.404,5.164,671.831,6.662,26.897,11.344,4.446,902.741,10.166,27.644,10.604,7.080,1870.917,111.079,88.340,51.382,17.555
Omar2-Sleep stage 1-08,114.013,25.634,61.784,17.075,4.147,1516.733,109.141,54.002,26.465,5.579,1757.998,98.555,21.376,16.998,4.323,936.049,69.466,38.531,16.950,5.704,191.596,24.999,11.123,11.270,3.124,1130.526,39.689,143.577,18.491,5.201,287.688,20.099,167.671,22.233,4.278,1325.129,76.734,458.790,52.862,8.309,972.371,96.976,160.349,29.739,8.952,850.257,62.413,61.780,18.550,8.681,2910.346,254.999,53.638,26.856,9.176,1022.587,69.743,66.189,17.485,8.682,1286.844,60.376,77.897,25.788,7.473,594.681,175.845,94.009,80.024,28.181
Omar2-Sleep stage 1-09,45.226,16.057,48.193,16.937,5.592,57.151,10.142,36.954,8.091,4.422,49.253,1.751,9.341,3.854,2.672,56.374,8.635,20.193,10.905,4.840,67.464,2.463,10.041,5.283,4.615,599.107,21.224,145.743,12.192,8.671,36.370,8.348,208.128,19.254,6.530,399.489,39.197,310.453,29.291,5.826,77.113,44.665,124.785,25.090,6.606,39.686,19.259,41.531,24.221,10.008,937.283,119.947,85.083,38.329,16.081,1322.221,38.246,50.572,28.208,7.099,1873.339,32.714,49.579,26.334,6.668,4528.764,764.754,247.092,274.303,102.368
Omar2-Sleep stage 1-10,270.526,18.973,23.388,12.043,4.789,91.319,8.938,18.694,9.703,2.761,31.510,3.441,5.479,5.122,3.022,260.749,6.130,9.432,9.118,3.313,178.241,4.598,4.915,7.146,3.348,7235.734,76.034,55.103,9.590,5.025,136.693,8.194,91.906,12.156,2.046,265.412,12.502,82.641,25.507,3.874,232.747,12.566,29.600,26.119,3.109,209.888,11.718,14.104,19.543,5.246,3510.576,237.307,38.658,31.121,8.032,347.285,42.035,20.185,13.467,6.150,465.447,12.999,15.769,18.183,3.890,4424.804,604.024,373.105,303.797,96.068
Omar2-Sleep stage 1-11,39.655,7.925,45.417,16.493,8.263,31.943,9.070,28.586,13.253,4.421,23.417,3.061,6.063,4.839,4.938,86.835,7.945,20.952,11.214,12.979,77.522,5.100,4.708,8.056,4.656,800.620,44.616,117.919,16.958,6.588,39.961,8.222,186.410,20.601,6.512,131.204,9.704,763.612,62.627,15.105,306.979,12.112,264.590,34.142,13.971,118.423,3.475,99.565,23.891,9.972,5120.613,151.766,54.564,20.631,15.888,1454.979,9.173,62.567,15.197,11.617,118.511,13.965,56.231,18.330,10.035,471.183,457.488,161.163,293.648,61.966
Omar2-Sleep stage 1-12,75.296,12.135,68.547,22.401,3.416,1121.367,25.590,53.779,20.334,4.248,1233.952,20.883,13.659,9.647,3.165,901.256,15.111,31.785,14.328,6.370,279.980,9.325,14.111,8.108,5.709,4042.147,46.543,83.667,19.872,5.977,87.986,14.638,119.113,14.849,5.198,492.862,34.386,207.845,41.791,5.045,1533.290,45.802,88.532,30.511,6.220,541.189,24.818,23.394,21.743,8.343,1417.353,104.072,44.741,24.110,18.428,2790.235,31.455,42.786,16.343,9.044,1073.395,29.882,40.027,19.965,9.721,1799.070,905.140,336.231,238.228,39.822
Omar2-Sleep stage 1-13,65.301,24.445,30.274,13.761,7.207,26.040,14.904,34.666,10.460,4.407,18.806,5.585,7.040,3.587,2.670,84.880,12.815,18.593,8.067,5.215,94.258,10.450,8.136,5.827,7.564,2775.608,19.861,39.972,20.086,9.241,31.115,7.246,41.470,25.068,4.894,92.415,15.176,71.512,40.129,7.968,339.067,42.686,58.820,23.652,9.033,32.483,21.362,16.497,15.057,6.461,4942.701,63.592,60.606,37.245,10.094,524.003,32.362,18.880,18.412,7.857,543.729,32.528,22.581,12.843,8.474,11163.542,1357.183,564.886,715.939,203.339
Omar2-Sleep stage 1-14,38.394,5.207,80.717,21.010,5.259,57.652,3.642,57.069,16.738,6.770,9.165,2.269,8.870,3.650,3.876,37.972,6.308,28.900,13.215,5.690,191.285,3.717,7.209,13.438,5.446,2149.536,44.023,133.123,23.464,8.670,37.699,16.956,224.177,22.892,8.440,95.820,35.384,490.036,61.708,9.708,434.324,117.422,86.933,45.502,6.538,340.086,63.658,24.353,24.338,7.415,7691.348,133.541,48.958,21.260,5.331,1250.472,28.557,69.397,21.818,5.165,689.088,15.185,73.576,19.693,7.116,4589.100,990.982,471.307,760.972,187.719
